央视频道,#genre#
广东卫视蓝光,http://39.134.66.66/PLTV/88888888/224/3221225667/index.m3u8
广东卫视蓝光,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
广东卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225666/index.m3u8?
广东珠江4K,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=79&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
广西卫视高清,http://39.134.168.91/PLTV/1/224/3221225598/index.m3u8
深圳卫视蓝光,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视蓝光,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
深圳卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225691/index.m3u8?
辽宁卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225639/index.m3u8?
辽宁卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225779/index.m3u8?
辽宁卫视蓝光,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
龙江卫视蓝光,http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8
龙江卫视蓝光,http://112.17.40.140/PLTV/88888888/224/3221226555/index.m3u8
龙江卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225686/index.m3u8?
吉林卫视,http://118.123.60.5:8114/z.m3u8?FvSeid=&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=&Fsv_chan_hls_se_idx=53&Provider_id=&Pcontent_id=&Fsv_otype=1
吉林卫视蓝光,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=25&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
吉林卫视蓝光,http://116.199.5.52:8114/00000000/index.m3u8?&amp;Fsv_ctype=LIVES&amp;Fsv_otype=1&amp;FvSeid=5abd1660af1babb4&amp;Fsv_filetype=1&amp;Fsv_ctype=LIVES&amp;Fsv_cid=0&amp;Fsv_chan_hls_se_idx=25&amp;Fsv_rate_id=0&amp;Fsv_SV_PARAM1=0&amp;Fsv_ShiftEnable=0&amp;Fsv_ShiftTsp=0&amp;Provider_id=&amp;Pcontent_id=&amp;Fsv_CMSID=&amp;Fsv_otype=1
吉林卫视蓝光,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8
江西卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225669/index.m3u8?
江西卫视蓝光,http://112.17.40.140/PLTV/88888888/224/3221226557/index.m3u8
江西卫视蓝光,http://112.17.40.8:80/PLTV/88888888/224/3221226557/index.m3u8
河南卫视蓝光,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=19&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
河南卫视超清,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8
海南卫视蓝光,http://39.134.39.37/PLTV/88888888/224/3221226301/index.m3u8
海南卫视蓝光,http://39.134.39.39/PLTV/88888888/224/3221226301/index.m3u8
云南卫视蓝光1,http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
云南卫视超清1,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8
贵州卫视蓝光,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=41&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
重庆卫视蓝光,http://111.12.102.68:6610/PLTV/77777777/224/3221225745/index.m3u8?
重庆卫视蓝光,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
陕西卫视高清,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
甘肃卫视蓝光,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视超清,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=142&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
宁夏卫视超清,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
宁夏卫视超清,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
青海卫视超清,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=206&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
青海卫视超清,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8
新疆卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
南方卫视高清,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
兵团卫视高清,http://39.134.168.91/PLTV/1/224/3221225634/index.m3u8
NEW安徽,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225790/index.m3u8
NEW广东,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225791/index.m3u8
NEW广西,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225792/index.m3u8
NEW吉林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225794/index.m3u8
NEW江西,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225789/index.m3u8
NEW山东,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225788/index.m3u8
NEW四川,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225793/index.m3u8
NEW云南,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8

地方频道,#genre#
CGTN,http://111.12.102.68:6610/PLTV/77777777/224/3221225707/index.m3u8?
CETV1,http://111.12.102.68:6610/PLTV/77777777/224/3221225776/index.m3u8?
北京文艺,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京纪实,http://39.134.115.163:8080/PLTV/88888910/224/3221225676/index.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京少儿,http://ivi.bupt.edu.cn/hls/btv10.m3u8
上海人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
上海教育,http://live.setv.sh.cn/slive/shedu02_1200k.m3u8
上海体育,http://39.134.39.39/PLTV/88888888/224/3221226178/index.m3u8
上海新闻,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
上海五星,http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8
上海影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
上海法制,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
上海财经,http://183.207.255.188/live/program/live/dfcj/1300000/mnf.m3u8
上海戏曲,http://183.207.255.188/live/program/live/qcxj/1300000/mnf.m3u8
上海生活,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
上海纪实,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
甘肃都市蓝光,http://39.134.39.39/PLTV/88888888/224/3221226248/index.m3u8
甘肃公共蓝光,http://39.134.39.37/PLTV/88888888/224/3221226250/index.m3u8
甘肃经济蓝光,http://39.134.39.39/PLTV/88888888/224/3221226252/index.m3u8
甘肃少儿蓝光,http://39.134.39.39/PLTV/88888888/224/3221226289/index.m3u8
甘肃文化影视蓝光,http://39.134.39.39/PLTV/88888888/224/3221226287/index.m3u8
兰州公共频道蓝光,http://39.134.39.39/PLTV/88888888/224/3221226244/index.m3u8
兰州生活经济蓝光,http://39.134.39.39/PLTV/88888888/224/3221226285/index.m3u8
